;PC Software:StarLab Version 3.30 Build 10
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:30/03/2021 at 10:49:27
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Split
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:940606)  VG2.52 (s/n:946462)
;Channel B:Vega Thermopile 3A (s/n:947746)  VG2.52 (s/n:946463)

;Channel A:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel B:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:658.0mW             
;Max:658.0mW             
;Average:658.0mW             
;Std.Dev.:0.000W              
;Overrange:0                   

;Channel B:Statistics
;Min:5.160mW             
;Max:8.090mW             
;Average:6.389mW             
;Std.Dev.:911.5uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 30/03/2021 at 10:49:27.999000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  6.580e-001 	             	
         0.064	  6.580e-001 	  6.530e-003 	
         0.129	  6.580e-001 	  6.530e-003 	
         0.192	  6.580e-001 	  6.530e-003 	
         0.256	             	  6.530e-003 	
         0.289	  6.580e-001 	             	
         0.321	             	  6.530e-003 	
         0.353	  6.580e-001 	             	
         0.385	             	  6.530e-003 	
         0.417	  6.580e-001 	             	
         0.449	             	  6.530e-003 	
         0.481	  6.580e-001 	             	
         0.513	             	  6.530e-003 	
         0.545	  6.580e-001 	             	
         0.577	             	  6.530e-003 	
         0.608	  6.580e-001 	             	
         0.641	             	  6.540e-003 	
         0.672	  6.580e-001 	             	
         0.705	             	  6.540e-003 	
         0.737	  6.580e-001 	             	
         0.768	             	  6.540e-003 	
         0.801	  6.580e-001 	             	
         0.865	  6.580e-001 	  6.540e-003 	
         0.929	  6.580e-001 	  6.540e-003 	
         0.993	  6.580e-001 	  6.540e-003 	
         1.057	             	  6.550e-003 	
         1.088	  6.580e-001 	             	
         1.120	             	  6.550e-003 	
         1.152	  6.580e-001 	             	
         1.185	             	  6.550e-003 	
         1.217	  6.580e-001 	             	
         1.249	             	  6.550e-003 	
         1.281	  6.580e-001 	             	
         1.313	             	  6.560e-003 	
         1.345	  6.580e-001 	             	
         1.377	             	  6.560e-003 	
         1.409	  6.580e-001 	             	
         1.441	             	  6.560e-003 	
         1.473	  6.580e-001 	             	
         1.505	             	  6.560e-003 	
         1.537	  6.580e-001 	             	
         1.569	             	  6.560e-003 	
         1.600	  6.580e-001 	             	
         1.665	  6.580e-001 	  6.570e-003 	
         1.729	  6.580e-001 	  6.570e-003 	
         1.793	  6.580e-001 	  6.570e-003 	
         1.857	             	  6.570e-003 	
         1.889	  6.580e-001 	             	
         1.921	             	  6.570e-003 	
         1.953	  6.580e-001 	             	
         1.984	             	  6.570e-003 	
         2.016	  6.580e-001 	             	
         2.048	             	  6.570e-003 	
         2.080	  6.580e-001 	             	
         2.113	             	  6.570e-003 	
         2.145	  6.580e-001 	             	
         2.177	             	  6.580e-003 	
         2.209	  6.580e-001 	             	
         2.241	             	  6.580e-003 	
         2.272	  6.580e-001 	             	
         2.305	             	  6.580e-003 	
         2.337	  6.580e-001 	             	
         2.369	             	  6.580e-003 	
         2.401	  6.580e-001 	             	
         2.465	  6.580e-001 	  6.580e-003 	
         2.529	  6.580e-001 	  6.580e-003 	
         2.593	  6.580e-001 	  6.580e-003 	
         2.657	             	  6.580e-003 	
         2.689	  6.580e-001 	             	
         2.721	             	  6.590e-003 	
         2.753	  6.580e-001 	             	
         2.785	             	  6.590e-003 	
         2.817	  6.580e-001 	             	
         2.849	             	  6.590e-003 	
         2.881	  6.580e-001 	             	
         2.913	             	  6.590e-003 	
         2.945	  6.580e-001 	             	
         2.977	             	  6.590e-003 	
         3.009	  6.580e-001 	             	
         3.041	             	  6.590e-003 	
         3.073	  6.580e-001 	             	
         3.105	             	  6.590e-003 	
         3.136	  6.580e-001 	             	
         3.169	             	  6.600e-003 	
         3.201	  6.580e-001 	             	
         3.264	  6.580e-001 	  6.600e-003 	
         3.329	  6.580e-001 	  6.600e-003 	
         3.392	  6.580e-001 	  6.600e-003 	
         3.457	             	  6.600e-003 	
         3.489	  6.580e-001 	             	
         3.521	             	  6.600e-003 	
         3.553	  6.580e-001 	             	
         3.584	             	  6.600e-003 	
         3.617	  6.580e-001 	             	
         3.649	             	  6.610e-003 	
         3.680	  6.580e-001 	             	
         3.713	             	  6.610e-003 	
         3.745	  6.580e-001 	             	
         3.777	             	  6.610e-003 	
         3.809	  6.580e-001 	             	
         3.841	             	  6.610e-003 	
         3.873	  6.580e-001 	             	
         3.905	             	  6.610e-003 	
         3.936	  6.580e-001 	             	
         3.969	             	  6.610e-003 	
         4.001	  6.580e-001 	             	
         4.064	  6.580e-001 	  6.620e-003 	
         4.129	  6.580e-001 	  6.620e-003 	
         4.193	  6.580e-001 	  6.620e-003 	
         4.257	  6.580e-001 	  6.620e-003 	
         4.321	             	  6.620e-003 	
         4.353	  6.580e-001 	             	
         4.385	             	  6.630e-003 	
         4.417	  6.580e-001 	             	
         4.449	             	  6.630e-003 	
         4.481	  6.580e-001 	             	
         4.513	             	  6.630e-003 	
         4.545	  6.580e-001 	             	
         4.576	             	  6.630e-003 	
         4.608	  6.580e-001 	             	
