;PC Software:StarLab Version 3.30 Build 10
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:23/03/2021 at 12:00:17
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Split
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:940606)  VG2.52 (s/n:946462)
;Channel B:Vega Thermopile 3A (s/n:947746)  VG2.52 (s/n:946463)

;Channel A:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel B:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:85.60mW             
;Max:86.10mW             
;Average:85.81mW             
;Std.Dev.:103.2uW             
;Overrange:0                   

;Channel B:Statistics
;Min:126.6uW             
;Max:964.0uW             
;Average:414.6uW             
;Std.Dev.:250.9uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 23/03/2021 at 12:00:17.394000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	             	  1.597e-004 	
         0.033	  8.600e-002 	             	
         0.065	             	  1.604e-004 	
         0.096	  8.600e-002 	             	
         0.160	  8.600e-002 	  1.612e-004 	
         0.224	  8.600e-002 	  1.621e-004 	
         0.288	  8.600e-002 	  1.629e-004 	
         0.352	  8.610e-002 	  1.638e-004 	
         0.416	  8.610e-002 	  1.646e-004 	
         0.480	             	  1.654e-004 	
         0.512	  8.610e-002 	             	
         0.544	             	  1.663e-004 	
         0.577	  8.610e-002 	             	
         0.608	             	  1.671e-004 	
         0.640	  8.610e-002 	             	
         0.672	             	  1.678e-004 	
         0.704	  8.610e-002 	             	
         0.736	             	  1.685e-004 	
         0.768	  8.610e-002 	             	
         0.800	             	  1.691e-004 	
         0.832	  8.610e-002 	             	
         0.864	             	  1.698e-004 	
         0.896	  8.610e-002 	             	
         0.928	             	  1.703e-004 	
         0.960	  8.610e-002 	             	
         1.024	  8.610e-002 	  1.709e-004 	
         1.088	  8.610e-002 	  1.714e-004 	
         1.152	  8.610e-002 	  1.718e-004 	
         1.216	  8.610e-002 	  1.720e-004 	
         1.280	             	  1.721e-004 	
         1.313	  8.610e-002 	             	
         1.344	             	  1.722e-004 	
         1.376	  8.600e-002 	             	
         1.408	             	  1.722e-004 	
         1.440	  8.600e-002 	             	
         1.472	             	  1.722e-004 	
         1.504	  8.600e-002 	             	
         1.536	             	  1.722e-004 	
         1.568	  8.590e-002 	             	
         1.600	             	  1.723e-004 	
         1.632	  8.590e-002 	             	
         1.664	             	  1.725e-004 	
         1.696	  8.590e-002 	             	
         1.728	             	  1.728e-004 	
         1.760	  8.590e-002 	             	
         1.825	  8.590e-002 	  1.731e-004 	
         1.888	  8.590e-002 	  1.734e-004 	
         1.952	  8.590e-002 	  1.737e-004 	
         2.017	  8.590e-002 	  1.740e-004 	
         2.080	             	  1.741e-004 	
         2.112	  8.590e-002 	             	
         2.144	             	  1.742e-004 	
         2.176	  8.590e-002 	             	
         2.208	             	  1.741e-004 	
         2.240	  8.590e-002 	             	
         2.272	             	  1.738e-004 	
         2.304	  8.590e-002 	             	
         2.336	             	  1.735e-004 	
         2.369	  8.590e-002 	             	
         2.400	             	  1.732e-004 	
         2.432	  8.590e-002 	             	
         2.464	             	  1.731e-004 	
         2.497	  8.590e-002 	             	
         2.528	             	  1.732e-004 	
         2.560	  8.590e-002 	             	
         2.624	  8.590e-002 	  1.734e-004 	
         2.688	  8.590e-002 	  1.738e-004 	
         2.752	  8.590e-002 	  1.743e-004 	
         2.816	  8.600e-002 	  1.749e-004 	
         2.880	             	  1.756e-004 	
         2.913	  8.600e-002 	             	
         2.944	             	  1.764e-004 	
         2.977	  8.600e-002 	             	
         3.008	             	  1.773e-004 	
         3.040	  8.600e-002 	             	
         3.072	             	  1.783e-004 	
         3.105	  8.590e-002 	             	
         3.136	             	  1.794e-004 	
         3.168	  8.590e-002 	             	
         3.201	             	  1.806e-004 	
         3.233	  8.590e-002 	             	
         3.265	             	  1.819e-004 	
         3.296	  8.590e-002 	             	
         3.328	             	  1.833e-004 	
         3.360	  8.590e-002 	             	
         3.425	  8.590e-002 	  1.847e-004 	
         3.488	  8.580e-002 	  1.860e-004 	
         3.552	  8.590e-002 	  1.874e-004 	
         3.617	  8.590e-002 	  1.886e-004 	
         3.680	             	  1.897e-004 	
         3.712	  8.590e-002 	             	
         3.744	             	  1.906e-004 	
         3.776	  8.590e-002 	             	
         3.808	             	  1.914e-004 	
         3.840	  8.590e-002 	             	
         3.872	             	  1.920e-004 	
         3.904	  8.590e-002 	             	
         3.936	             	  1.926e-004 	
         3.968	  8.590e-002 	             	
         4.000	             	  1.933e-004 	
         4.032	  8.590e-002 	             	
         4.064	             	  1.940e-004 	
         4.096	  8.590e-002 	             	
         4.129	             	  1.948e-004 	
         4.161	  8.590e-002 	             	
         4.224	  8.590e-002 	  1.956e-004 	
         4.288	  8.590e-002 	  1.964e-004 	
         4.352	  8.590e-002 	  1.972e-004 	
         4.417	  8.590e-002 	  1.979e-004 	
         4.480	             	  1.985e-004 	
         4.512	  8.590e-002 	             	
         4.544	             	  1.989e-004 	
         4.576	  8.590e-002 	             	
         4.608	             	  1.994e-004 	
         4.641	  8.590e-002 	             	
         4.672	             	  1.999e-004 	
         4.705	  8.590e-002 	             	
         4.736	             	  2.004e-004 	
         4.768	  8.590e-002 	             	
         4.801	             	  2.010e-004 	
         4.833	  8.590e-002 	             	
         4.864	             	  2.018e-004 	
         4.896	  8.590e-002 	             	
         4.928	             	  2.029e-004 	
         4.960	  8.590e-002 	             	
         5.024	  8.590e-002 	  2.041e-004 	
         5.088	  8.590e-002 	  2.055e-004 	
         5.152	  8.590e-002 	  2.069e-004 	
         5.216	  8.590e-002 	  2.085e-004 	
         5.280	             	  2.102e-004 	
         5.312	  8.590e-002 	             	
         5.344	             	  2.120e-004 	
         5.377	  8.590e-002 	             	
         5.409	             	  2.139e-004 	
         5.440	  8.590e-002 	             	
         5.472	             	  2.159e-004 	
         5.504	  8.590e-002 	             	
         5.536	             	  2.179e-004 	
         5.568	  8.580e-002 	             	
         5.601	             	  2.199e-004 	
         5.632	  8.580e-002 	             	
         5.665	             	  2.220e-004 	
         5.697	  8.580e-002 	             	
         5.728	             	  2.240e-004 	
         5.760	  8.580e-002 	             	
         5.824	  8.580e-002 	  2.260e-004 	
         5.888	  8.570e-002 	  2.280e-004 	
         5.952	  8.570e-002 	  2.300e-004 	
         6.016	  8.570e-002 	  2.319e-004 	
         6.080	             	  2.338e-004 	
         6.112	  8.570e-002 	             	
         6.144	             	  2.356e-004 	
         6.176	  8.570e-002 	             	
         6.208	             	  2.373e-004 	
         6.240	  8.570e-002 	             	
         6.272	             	  2.390e-004 	
         6.304	  8.570e-002 	             	
         6.336	             	  2.407e-004 	
         6.368	  8.570e-002 	             	
         6.400	             	  2.423e-004 	
         6.433	  8.570e-002 	             	
         6.465	             	  2.439e-004 	
         6.497	  8.580e-002 	             	
         6.528	             	  2.455e-004 	
         6.560	  8.580e-002 	             	
         6.624	  8.580e-002 	  2.472e-004 	
         6.688	  8.580e-002 	  2.489e-004 	
         6.752	  8.580e-002 	  2.506e-004 	
         6.816	  8.590e-002 	  2.524e-004 	
         6.881	             	  2.541e-004 	
         6.913	  8.590e-002 	             	
         6.944	             	  2.557e-004 	
         6.977	  8.590e-002 	             	
         7.008	             	  2.573e-004 	
         7.041	  8.590e-002 	             	
         7.072	             	  2.589e-004 	
         7.105	  8.590e-002 	             	
         7.136	             	  2.605e-004 	
         7.168	  8.590e-002 	             	
         7.200	             	  2.620e-004 	
         7.233	  8.590e-002 	             	
         7.264	             	  2.635e-004 	
         7.296	  8.590e-002 	             	
         7.328	             	  2.650e-004 	
         7.360	  8.590e-002 	             	
         7.424	  8.590e-002 	  2.665e-004 	
         7.489	  8.590e-002 	  2.680e-004 	
         7.552	  8.590e-002 	  2.696e-004 	
         7.616	  8.590e-002 	  2.712e-004 	
         7.681	             	  2.728e-004 	
         7.713	  8.590e-002 	             	
         7.744	             	  2.745e-004 	
         7.777	  8.590e-002 	             	
         7.808	             	  2.763e-004 	
         7.840	  8.590e-002 	             	
         7.873	             	  2.781e-004 	
         7.905	  8.590e-002 	             	
         7.936	             	  2.799e-004 	
         7.968	  8.590e-002 	             	
         8.000	             	  2.818e-004 	
         8.032	  8.590e-002 	             	
         8.064	             	  2.837e-004 	
         8.096	  8.590e-002 	             	
         8.128	             	  2.856e-004 	
         8.160	  8.590e-002 	             	
         8.225	  8.590e-002 	  2.875e-004 	
         8.288	  8.590e-002 	  2.893e-004 	
         8.352	  8.590e-002 	  2.911e-004 	
         8.417	  8.590e-002 	  2.929e-004 	
         8.481	             	  2.947e-004 	
         8.512	  8.590e-002 	             	
         8.545	             	  2.964e-004 	
         8.576	  8.600e-002 	             	
         8.608	             	  2.982e-004 	
         8.640	  8.600e-002 	             	
         8.704	  8.600e-002 	             	
         8.769	  8.600e-002 	             	
         8.833	  8.600e-002 	             	
         8.897	  8.590e-002 	             	
         8.960	  8.590e-002 	             	
         9.025	  8.590e-002 	             	
         9.088	  8.590e-002 	             	
         9.152	  8.590e-002 	             	
         9.216	  8.590e-002 	             	
         9.280	  8.590e-002 	             	
         9.376	  8.590e-002 	             	
         9.441	  8.590e-002 	             	
         9.504	  8.590e-002 	             	
         9.568	  8.590e-002 	             	
         9.633	  8.590e-002 	             	
         9.697	  8.590e-002 	             	
         9.760	  8.590e-002 	             	
         9.825	  8.590e-002 	             	
         9.888	  8.590e-002 	             	
         9.952	  8.590e-002 	  3.430e-004 	
        10.017	  8.590e-002 	  3.550e-004 	
        10.080	  8.590e-002 	  3.650e-004 	
        10.144	             	  3.730e-004 	
        10.177	  8.590e-002 	             	
        10.208	             	  3.790e-004 	
        10.241	  8.590e-002 	             	
        10.272	             	  3.840e-004 	
        10.304	  8.590e-002 	             	
        10.336	             	  3.870e-004 	
        10.368	  8.590e-002 	             	
        10.400	             	  3.880e-004 	
        10.433	  8.590e-002 	             	
        10.465	             	  3.890e-004 	
        10.497	  8.590e-002 	             	
        10.528	             	  3.890e-004 	
        10.561	  8.600e-002 	             	
        10.624	  8.600e-002 	  3.890e-004 	
        10.688	  8.600e-002 	  3.880e-004 	
        10.752	  8.600e-002 	  3.880e-004 	
        10.817	  8.600e-002 	  3.870e-004 	
        10.880	  8.600e-002 	  3.870e-004 	
        10.944	             	  3.860e-004 	
        10.976	  8.600e-002 	             	
        11.008	             	  3.860e-004 	
        11.040	  8.600e-002 	             	
        11.073	             	  3.860e-004 	
        11.104	  8.600e-002 	             	
        11.136	             	  3.860e-004 	
        11.168	  8.600e-002 	             	
        11.201	             	  3.860e-004 	
        11.232	  8.600e-002 	             	
        11.264	             	  3.870e-004 	
        11.297	  8.600e-002 	             	
        11.329	             	  3.880e-004 	
        11.360	  8.600e-002 	             	
        11.425	  8.600e-002 	  3.890e-004 	
