;PC Software:StarLab Version 3.30 Build 10
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:22/03/2021 at 16:57:48
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:03:00
;Graph Mode:Split
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:940606)  VG2.52 (s/n:946462)
;Channel B:Vega Thermopile 3A (s/n:947746)  VG2.52 (s/n:946463)

;Channel A:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel B:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:86.70mW             
;Max:87.00mW             
;Average:86.82mW             
;Std.Dev.:73.60uW             
;Overrange:0                   

;Channel B:Statistics
;Min:7.300uW             
;Max:17.20uW             
;Average:12.18uW             
;Std.Dev.:1.831uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 22/03/2021 at 16:57:48.730000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  8.680e-002 	             	
         0.032	             	  1.270e-005 	
         0.064	  8.680e-002 	             	
         0.096	             	  1.270e-005 	
         0.128	  8.680e-002 	             	
         0.160	             	  1.270e-005 	
         0.191	  8.680e-002 	             	
         0.223	             	  1.270e-005 	
         0.255	  8.680e-002 	             	
         0.288	             	  1.270e-005 	
         0.320	  8.690e-002 	             	
         0.352	             	  1.270e-005 	
         0.384	  8.690e-002 	             	
         0.415	             	  1.260e-005 	
         0.480	  8.690e-002 	  1.260e-005 	
         0.543	  8.690e-002 	  1.260e-005 	
         0.607	  8.690e-002 	             	
         0.639	             	  1.270e-005 	
         0.671	  8.690e-002 	             	
         0.704	             	  1.270e-005 	
         0.736	  8.690e-002 	             	
         0.767	             	  1.270e-005 	
         0.800	  8.690e-002 	             	
         0.831	             	  1.270e-005 	
         0.864	  8.690e-002 	             	
         0.896	             	  1.280e-005 	
         0.928	  8.690e-002 	             	
         0.960	             	  1.280e-005 	
         0.992	  8.680e-002 	             	
         1.023	             	  1.280e-005 	
         1.056	  8.680e-002 	             	
         1.087	             	  1.290e-005 	
         1.120	  8.680e-002 	             	
         1.151	             	  1.300e-005 	
         1.184	  8.680e-002 	             	
         1.216	             	  1.310e-005 	
         1.279	  8.680e-002 	  1.310e-005 	
         1.344	  8.680e-002 	  1.310e-005 	
         1.408	  8.680e-002 	  1.310e-005 	
         1.472	  8.680e-002 	             	
         1.503	             	  1.310e-005 	
         1.535	  8.680e-002 	             	
         1.568	             	  1.320e-005 	
         1.600	  8.680e-002 	             	
         1.632	             	  1.320e-005 	
         1.664	  8.680e-002 	             	
         1.696	             	  1.310e-005 	
         1.728	  8.680e-002 	             	
         1.760	             	  1.310e-005 	
         1.791	  8.690e-002 	             	
         1.824	             	  1.310e-005 	
         1.856	  8.690e-002 	             	
         1.888	             	  1.310e-005 	
         1.920	  8.690e-002 	             	
         1.951	             	  1.320e-005 	
         1.984	  8.690e-002 	             	
         2.015	             	  1.320e-005 	
         2.079	  8.690e-002 	  1.320e-005 	
         2.144	  8.690e-002 	  1.320e-005 	
         2.208	  8.690e-002 	  1.320e-005 	
         2.272	  8.690e-002 	             	
         2.303	             	  1.320e-005 	
         2.336	  8.690e-002 	             	
         2.367	             	  1.330e-005 	
         2.399	  8.690e-002 	             	
         2.432	             	  1.330e-005 	
         2.463	  8.690e-002 	             	
         2.496	             	  1.330e-005 	
         2.528	  8.690e-002 	             	
         2.560	             	  1.340e-005 	
         2.591	  8.690e-002 	             	
         2.623	             	  1.340e-005 	
         2.655	  8.690e-002 	             	
         2.687	             	  1.350e-005 	
         2.720	  8.690e-002 	             	
         2.752	             	  1.360e-005 	
         2.784	  8.690e-002 	             	
         2.815	             	  1.370e-005 	
         2.880	  8.690e-002 	  1.370e-005 	
         2.943	  8.690e-002 	  1.380e-005 	
         3.008	  8.690e-002 	  1.380e-005 	
         3.071	  8.680e-002 	             	
         3.104	             	  1.380e-005 	
         3.136	  8.680e-002 	             	
         3.168	             	  1.380e-005 	
         3.199	  8.680e-002 	             	
         3.231	             	  1.380e-005 	
         3.264	  8.680e-002 	             	
         3.295	             	  1.380e-005 	
         3.328	  8.680e-002 	             	
         3.360	             	  1.380e-005 	
         3.392	  8.680e-002 	             	
         3.424	             	  1.380e-005 	
         3.455	  8.680e-002 	             	
         3.488	             	  1.380e-005 	
         3.520	  8.680e-002 	             	
         3.552	             	  1.380e-005 	
         3.583	  8.680e-002 	             	
         3.616	             	  1.380e-005 	
         3.680	  8.680e-002 	  1.380e-005 	
         3.743	  8.680e-002 	  1.380e-005 	
         3.807	  8.680e-002 	  1.380e-005 	
         3.872	  8.670e-002 	             	
         3.904	             	  1.380e-005 	
         3.936	  8.670e-002 	             	
         3.968	             	  1.380e-005 	
         4.000	  8.670e-002 	             	
         4.031	             	  1.380e-005 	
         4.063	  8.670e-002 	             	
         4.096	             	  1.370e-005 	
         4.127	  8.670e-002 	             	
         4.159	             	  1.370e-005 	
         4.191	  8.670e-002 	             	
         4.224	             	  1.360e-005 	
         4.255	  8.670e-002 	             	
         4.288	             	  1.360e-005 	
         4.320	  8.670e-002 	             	
         4.352	             	  1.360e-005 	
         4.384	  8.670e-002 	             	
         4.416	             	  1.350e-005 	
         4.479	  8.670e-002 	  1.350e-005 	
         4.544	  8.670e-002 	  1.350e-005 	
         4.608	  8.670e-002 	  1.340e-005 	
         4.672	  8.670e-002 	             	
         4.703	             	  1.340e-005 	
         4.736	  8.670e-002 	             	
         4.768	             	  1.340e-005 	
         4.799	  8.670e-002 	             	
         4.831	             	  1.340e-005 	
         4.863	  8.670e-002 	             	
         4.896	             	  1.340e-005 	
         4.927	  8.670e-002 	             	
         4.960	             	  1.330e-005 	
         4.992	  8.670e-002 	             	
         5.023	             	  1.330e-005 	
         5.056	  8.670e-002 	             	
         5.087	             	  1.330e-005 	
         5.119	  8.670e-002 	             	
         5.152	             	  1.320e-005 	
         5.184	  8.670e-002 	             	
         5.215	             	  1.310e-005 	
         5.280	  8.670e-002 	  1.300e-005 	
         5.343	  8.670e-002 	  1.290e-005 	
         5.407	  8.670e-002 	  1.280e-005 	
         5.472	  8.670e-002 	             	
         5.504	             	  1.270e-005 	
         5.536	  8.670e-002 	             	
         5.568	             	  1.260e-005 	
         5.600	  8.670e-002 	             	
         5.631	             	  1.250e-005 	
         5.663	  8.680e-002 	             	
         5.696	             	  1.250e-005 	
         5.728	  8.680e-002 	             	
         5.759	             	  1.240e-005 	
         5.791	  8.680e-002 	             	
         5.824	             	  1.220e-005 	
         5.855	  8.680e-002 	             	
         5.888	             	  1.210e-005 	
         5.920	  8.680e-002 	             	
         5.951	             	  1.210e-005 	
         5.984	  8.680e-002 	             	
         6.015	             	  1.200e-005 	
         6.079	  8.680e-002 	  1.190e-005 	
         6.144	  8.680e-002 	  1.190e-005 	
         6.208	  8.680e-002 	  1.180e-005 	
         6.271	  8.680e-002 	             	
         6.304	             	  1.170e-005 	
         6.335	  8.680e-002 	             	
         6.368	             	  1.160e-005 	
         6.400	  8.680e-002 	             	
         6.431	             	  1.160e-005 	
         6.463	  8.680e-002 	             	
         6.496	             	  1.160e-005 	
         6.528	  8.680e-002 	             	
         6.560	             	  1.160e-005 	
         6.592	  8.680e-002 	             	
         6.624	             	  1.160e-005 	
         6.655	  8.680e-002 	             	
         6.687	             	  1.160e-005 	
         6.720	  8.680e-002 	             	
         6.752	             	  1.170e-005 	
         6.783	  8.680e-002 	             	
         6.816	             	  1.170e-005 	
         6.879	  8.680e-002 	  1.180e-005 	
         6.943	  8.680e-002 	  1.190e-005 	
         7.008	  8.680e-002 	  1.190e-005 	
         7.072	  8.680e-002 	             	
         7.103	             	  1.200e-005 	
         7.136	  8.680e-002 	             	
         7.168	             	  1.200e-005 	
         7.199	  8.680e-002 	             	
         7.231	             	  1.210e-005 	
         7.264	  8.680e-002 	             	
         7.296	             	  1.210e-005 	
         7.328	  8.680e-002 	             	
         7.360	             	  1.210e-005 	
         7.391	  8.680e-002 	             	
         7.424	             	  1.210e-005 	
         7.456	  8.680e-002 	             	
         7.488	             	  1.210e-005 	
         7.520	  8.680e-002 	             	
         7.552	             	  1.210e-005 	
         7.583	  8.680e-002 	             	
         7.616	             	  1.200e-005 	
         7.680	  8.680e-002 	  1.200e-005 	
         7.743	  8.680e-002 	  1.200e-005 	
         7.807	  8.680e-002 	  1.190e-005 	
         7.872	  8.680e-002 	             	
         7.904	             	  1.190e-005 	
         7.935	  8.680e-002 	             	
         7.967	             	  1.180e-005 	
         7.999	  8.680e-002 	             	
         8.032	             	  1.180e-005 	
         8.064	  8.680e-002 	             	
         8.096	             	  1.180e-005 	
         8.128	  8.680e-002 	             	
         8.159	             	  1.180e-005 	
         8.192	  8.680e-002 	             	
         8.223	             	  1.180e-005 	
         8.255	  8.680e-002 	             	
         8.287	             	  1.180e-005 	
         8.319	  8.690e-002 	             	
         8.352	             	  1.180e-005 	
         8.384	  8.690e-002 	             	
         8.416	             	  1.170e-005 	
         8.447	  8.690e-002 	             	
         8.479	             	  1.170e-005 	
         8.544	  8.690e-002 	  1.170e-005 	
         8.607	  8.690e-002 	  1.170e-005 	
         8.672	  8.690e-002 	             	
         8.704	             	  1.180e-005 	
         8.736	  8.690e-002 	             	
         8.767	             	  1.180e-005 	
         8.800	  8.690e-002 	             	
         8.832	             	  1.200e-005 	
         8.863	  8.690e-002 	             	
         8.895	             	  1.210e-005 	
         8.927	  8.690e-002 	             	
         8.960	             	  1.220e-005 	
         8.991	  8.690e-002 	             	
         9.023	             	  1.220e-005 	
         9.055	  8.690e-002 	             	
         9.088	             	  1.220e-005 	
         9.119	  8.690e-002 	             	
         9.152	             	  1.220e-005 	
         9.183	  8.690e-002 	             	
         9.216	             	  1.220e-005 	
         9.248	  8.690e-002 	             	
         9.280	             	  1.220e-005 	
         9.343	  8.680e-002 	  1.210e-005 	
         9.408	  8.680e-002 	  1.210e-005 	
         9.472	  8.680e-002 	             	
         9.504	             	  1.210e-005 	
         9.536	  8.680e-002 	             	
         9.567	             	  1.210e-005 	
         9.600	  8.680e-002 	             	
         9.631	             	  1.210e-005 	
         9.664	  8.680e-002 	             	
         9.695	             	  1.210e-005 	
         9.727	  8.680e-002 	             	
         9.760	             	  1.220e-005 	
         9.791	  8.680e-002 	             	
         9.824	             	  1.220e-005 	
         9.855	  8.680e-002 	             	
         9.888	             	  1.230e-005 	
         9.919	  8.680e-002 	             	
         9.952	             	  1.230e-005 	
         9.984	  8.680e-002 	             	
        10.016	             	  1.220e-005 	
        10.047	  8.680e-002 	             	
        10.080	             	  1.210e-005 	
        10.143	  8.680e-002 	  1.200e-005 	
        10.208	  8.680e-002 	  1.200e-005 	
        10.271	  8.680e-002 	             	
        10.304	             	  1.200e-005 	
        10.336	  8.680e-002 	             	
        10.368	             	  1.200e-005 	
        10.400	  8.680e-002 	             	
        10.431	             	  1.200e-005 	
        10.464	  8.680e-002 	             	
        10.495	             	  1.200e-005 	
        10.528	  8.680e-002 	             	
        10.559	             	  1.210e-005 	
        10.591	  8.680e-002 	             	
        10.623	             	  1.210e-005 	
        10.656	  8.680e-002 	             	
        10.687	             	  1.220e-005 	
        10.720	  8.680e-002 	             	
        10.752	             	  1.230e-005 	
        10.784	  8.680e-002 	             	
        10.815	             	  1.230e-005 	
        10.848	  8.680e-002 	             	
        10.880	             	  1.240e-005 	
        10.944	  8.680e-002 	  1.240e-005 	
        11.007	  8.680e-002 	  1.240e-005 	
        11.071	  8.680e-002 	             	
        11.104	             	  1.250e-005 	
        11.135	  8.680e-002 	             	
        11.167	             	  1.250e-005 	
        11.200	  8.680e-002 	             	
        11.231	             	  1.250e-005 	
        11.263	  8.690e-002 	             	
        11.295	             	  1.250e-005 	
        11.327	  8.690e-002 	             	
        11.360	             	  1.250e-005 	
        11.392	  8.690e-002 	             	
        11.424	             	  1.250e-005 	
        11.456	  8.690e-002 	             	
        11.487	             	  1.250e-005 	
        11.520	  8.690e-002 	             	
        11.552	             	  1.260e-005 	
        11.583	  8.690e-002 	             	
        11.616	             	  1.270e-005 	
        11.648	  8.690e-002 	             	
        11.680	             	  1.280e-005 	
        11.744	  8.690e-002 	  1.280e-005 	
        11.808	  8.680e-002 	  1.290e-005 	
        11.872	  8.680e-002 	             	
        11.904	             	  1.300e-005 	
        11.936	  8.680e-002 	             	
        11.968	             	  1.300e-005 	
        12.000	  8.680e-002 	             	
        12.032	             	  1.290e-005 	
        12.064	  8.680e-002 	             	
        12.096	             	  1.290e-005 	
        12.128	  8.680e-002 	             	
        12.160	             	  1.290e-005 	
        12.191	  8.670e-002 	             	
        12.223	             	  1.290e-005 	
        12.255	  8.670e-002 	             	
        12.288	             	  1.280e-005 	
        12.320	  8.670e-002 	             	
        12.351	             	  1.280e-005 	
        12.383	  8.670e-002 	             	
        12.415	             	  1.270e-005 	
        12.448	  8.670e-002 	             	
        12.480	             	  1.270e-005 	
        12.544	  8.670e-002 	  1.260e-005 	
        12.607	  8.670e-002 	  1.260e-005 	
        12.672	  8.680e-002 	             	
        12.704	             	  1.270e-005 	
        12.736	  8.680e-002 	             	
        12.767	             	  1.270e-005 	
        12.799	  8.680e-002 	             	
        12.832	             	  1.270e-005 	
        12.863	  8.680e-002 	             	
        12.895	             	  1.270e-005 	
        12.927	  8.680e-002 	             	
        12.960	             	  1.280e-005 	
        12.992	  8.680e-002 	             	
        13.024	             	  1.280e-005 	
        13.056	  8.680e-002 	             	
        13.088	             	  1.290e-005 	
        13.119	  8.680e-002 	             	
        13.151	             	  1.290e-005 	
        13.183	  8.680e-002 	             	
        13.216	             	  1.290e-005 	
        13.248	  8.680e-002 	             	
        13.280	             	  1.290e-005 	
        13.344	  8.680e-002 	  1.280e-005 	
        13.408	  8.680e-002 	  1.280e-005 	
        13.471	  8.680e-002 	             	
        13.504	             	  1.270e-005 	
        13.536	  8.680e-002 	             	
        13.567	             	  1.270e-005 	
        13.599	  8.680e-002 	             	
        13.631	             	  1.270e-005 	
        13.663	  8.680e-002 	             	
        13.695	             	  1.280e-005 	
        13.727	  8.680e-002 	             	
        13.760	             	  1.280e-005 	
        13.792	  8.680e-002 	             	
        13.824	             	  1.280e-005 	
        13.855	  8.680e-002 	             	
        13.887	             	  1.280e-005 	
        13.920	  8.680e-002 	             	
        13.951	             	  1.280e-005 	
        13.984	  8.680e-002 	             	
        14.016	             	  1.270e-005 	
        14.048	  8.680e-002 	             	
        14.079	             	  1.270e-005 	
        14.144	  8.680e-002 	  1.270e-005 	
        14.208	  8.680e-002 	  1.270e-005 	
