;PC Software:StarLab Version 3.30 Build 10
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:23/03/2021 at 11:25:13
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Split
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:940606)  VG2.52 (s/n:946462)
;Channel B:Vega Thermopile 3A (s/n:947746)  VG2.52 (s/n:946463)

;Channel A:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel B:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:86.50mW             
;Max:86.90mW             
;Average:86.68mW             
;Std.Dev.:96.79uW             
;Overrange:0                   

;Channel B:Statistics
;Min:504.0uW             
;Max:531.0uW             
;Average:516.8uW             
;Std.Dev.:8.540uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 23/03/2021 at 11:25:13.393000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  8.670e-002 	             	
         0.031	             	  5.040e-004 	
         0.063	  8.670e-002 	             	
         0.095	             	  5.040e-004 	
         0.127	  8.670e-002 	             	
         0.159	             	  5.050e-004 	
         0.191	  8.670e-002 	             	
         0.223	             	  5.050e-004 	
         0.255	  8.670e-002 	             	
         0.319	  8.670e-002 	  5.050e-004 	
         0.383	             	  5.050e-004 	
         0.415	  8.670e-002 	             	
         0.447	             	  5.050e-004 	
         0.480	  8.670e-002 	             	
         0.511	             	  5.050e-004 	
         0.543	  8.670e-002 	             	
         0.576	             	  5.050e-004 	
         0.607	  8.670e-002 	             	
         0.639	             	  5.050e-004 	
         0.671	  8.670e-002 	             	
         0.703	             	  5.050e-004 	
         0.735	  8.670e-002 	             	
         0.768	             	  5.050e-004 	
         0.800	  8.670e-002 	             	
         0.831	             	  5.060e-004 	
         0.863	  8.670e-002 	             	
         0.895	             	  5.060e-004 	
         0.928	  8.670e-002 	             	
         0.959	             	  5.060e-004 	
         0.991	  8.660e-002 	             	
         1.023	             	  5.060e-004 	
         1.056	  8.660e-002 	             	
         1.119	  8.660e-002 	  5.060e-004 	
         1.183	             	  5.060e-004 	
         1.215	  8.660e-002 	             	
         1.247	             	  5.060e-004 	
         1.280	  8.660e-002 	             	
         1.311	             	  5.060e-004 	
         1.344	  8.660e-002 	             	
         1.376	             	  5.070e-004 	
         1.408	  8.660e-002 	             	
         1.439	             	  5.070e-004 	
         1.471	  8.660e-002 	             	
         1.504	             	  5.070e-004 	
         1.536	  8.660e-002 	             	
         1.567	             	  5.070e-004 	
         1.599	  8.660e-002 	             	
         1.631	             	  5.070e-004 	
         1.663	  8.660e-002 	             	
         1.695	             	  5.070e-004 	
         1.727	  8.660e-002 	             	
         1.759	             	  5.070e-004 	
         1.791	  8.660e-002 	             	
         1.823	             	  5.070e-004 	
         1.855	  8.660e-002 	             	
         1.920	  8.660e-002 	  5.070e-004 	
         1.983	  8.660e-002 	  5.070e-004 	
         2.047	             	  5.070e-004 	
         2.079	  8.660e-002 	             	
         2.112	             	  5.070e-004 	
         2.143	  8.660e-002 	             	
         2.176	             	  5.070e-004 	
         2.207	  8.660e-002 	             	
         2.239	             	  5.070e-004 	
