;PC Software:StarLab Version 3.30 Build 10
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:23/03/2021 at 11:22:39
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Split
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:940606)  VG2.52 (s/n:946462)
;Channel B:Vega Thermopile 3A (s/n:947746)  VG2.52 (s/n:946463)

;Channel A:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel B:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:86.60mW             
;Max:87.00mW             
;Average:86.77mW             
;Std.Dev.:76.03uW             
;Overrange:0                   

;Channel B:Statistics
;Min:31.70uW             
;Max:57.00uW             
;Average:53.18uW             
;Std.Dev.:4.039uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 23/03/2021 at 11:22:39.281000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  8.680e-002 	             	
         0.064	  8.680e-002 	  5.270e-005 	
         0.128	             	  5.280e-005 	
         0.161	  8.680e-002 	             	
         0.192	             	  5.290e-005 	
         0.224	  8.680e-002 	             	
         0.256	             	  5.290e-005 	
         0.288	  8.680e-002 	             	
         0.320	             	  5.300e-005 	
         0.352	  8.680e-002 	             	
         0.384	             	  5.300e-005 	
         0.417	  8.680e-002 	             	
         0.448	             	  5.300e-005 	
         0.481	  8.680e-002 	             	
         0.512	             	  5.290e-005 	
         0.545	  8.680e-002 	             	
         0.576	             	  5.290e-005 	
         0.608	  8.680e-002 	             	
         0.640	             	  5.280e-005 	
         0.672	  8.680e-002 	             	
         0.704	             	  5.280e-005 	
         0.736	  8.680e-002 	             	
         0.768	             	  5.270e-005 	
         0.800	  8.680e-002 	             	
         0.864	  8.680e-002 	  5.260e-005 	
         0.928	             	  5.250e-005 	
         0.960	  8.680e-002 	             	
         0.992	             	  5.250e-005 	
         1.024	  8.680e-002 	             	
         1.056	             	  5.240e-005 	
         1.088	  8.680e-002 	             	
         1.120	             	  5.240e-005 	
         1.152	  8.680e-002 	             	
         1.184	             	  5.240e-005 	
         1.216	  8.680e-002 	             	
         1.248	             	  5.230e-005 	
         1.281	  8.680e-002 	             	
         1.312	             	  5.230e-005 	
         1.344	  8.680e-002 	             	
         1.376	             	  5.240e-005 	
         1.408	  8.680e-002 	             	
         1.440	             	  5.240e-005 	
         1.473	  8.680e-002 	             	
         1.504	             	  5.240e-005 	
         1.536	  8.680e-002 	             	
         1.568	             	  5.240e-005 	
         1.601	  8.680e-002 	             	
         1.664	  8.680e-002 	  5.240e-005 	
         1.728	  8.680e-002 	  5.230e-005 	
         1.792	             	  5.230e-005 	
         1.824	  8.680e-002 	             	
         1.856	             	  5.220e-005 	
         1.888	  8.680e-002 	             	
         1.920	             	  5.210e-005 	
         1.952	  8.680e-002 	             	
         1.984	             	  5.210e-005 	
         2.016	  8.680e-002 	             	
         2.048	             	  5.200e-005 	
         2.080	  8.680e-002 	             	
         2.112	             	  5.200e-005 	
         2.144	  8.680e-002 	             	
         2.176	             	  5.210e-005 	
         2.208	  8.680e-002 	             	
         2.240	             	  5.210e-005 	
         2.272	  8.680e-002 	             	
         2.304	             	  5.220e-005 	
         2.337	  8.680e-002 	             	
         2.368	             	  5.230e-005 	
         2.400	  8.680e-002 	             	
         2.464	  8.680e-002 	  5.240e-005 	
         2.528	  8.680e-002 	  5.240e-005 	
         2.592	             	  5.250e-005 	
         2.625	  8.680e-002 	             	
         2.656	             	  5.260e-005 	
         2.689	  8.680e-002 	             	
         2.720	             	  5.270e-005 	
         2.752	  8.680e-002 	             	
         2.784	             	  5.280e-005 	
         2.816	  8.680e-002 	             	
         2.848	             	  5.290e-005 	
         2.880	  8.680e-002 	             	
         2.912	             	  5.300e-005 	
         2.944	  8.680e-002 	             	
         2.976	             	  5.300e-005 	
         3.008	  8.680e-002 	             	
         3.041	             	  5.300e-005 	
         3.073	  8.670e-002 	             	
         3.104	             	  5.310e-005 	
         3.136	  8.670e-002 	             	
         3.168	             	  5.310e-005 	
         3.200	  8.670e-002 	             	
         3.264	  8.670e-002 	  5.300e-005 	
         3.328	  8.670e-002 	  5.300e-005 	
         3.392	             	  5.300e-005 	
         3.424	  8.670e-002 	             	
         3.456	             	  5.300e-005 	
         3.488	  8.670e-002 	             	
         3.520	             	  5.300e-005 	
         3.552	  8.670e-002 	             	
         3.584	             	  5.290e-005 	
         3.616	  8.670e-002 	             	
         3.648	             	  5.290e-005 	
         3.680	  8.670e-002 	             	
         3.712	             	  5.280e-005 	
         3.744	  8.670e-002 	             	
         3.776	             	  5.280e-005 	
         3.809	  8.680e-002 	             	
         3.841	             	  5.290e-005 	
         3.873	  8.680e-002 	             	
         3.904	             	  5.290e-005 	
         3.936	  8.680e-002 	             	
         3.968	             	  5.300e-005 	
