;PC Software:StarLab Version 3.30 Build 10
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:17/03/2021 at 16:43:23
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Merge
;Graph Type:Line
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:940606)  VG2.52 (s/n:946462)
;Channel B:Vega Photodiode PD300-3W-v1 (s/n:939852)  VG2.52 (s/n:946463)

;Channel A:Details
;Name:3A
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel B:Details
;Name:PD300-3W-v1
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO
;Settings:Filter:IN

;Channel A:Statistics
;Min:649.0mW             
;Max:650.0mW             
;Average:650.0mW             
;Std.Dev.:126.4uW             
;Overrange:0                   

;Channel B:Statistics
;Min:5.360mW             
;Max:19.46mW             
;Average:12.49mW             
;Std.Dev.:4.300mW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 17/03/2021 at 16:43:24.147000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	             	  1.412e-002 	
         0.033	  6.500e-001 	             	
         0.064	             	  1.409e-002 	
         0.096	  6.500e-001 	             	
         0.128	             	  1.406e-002 	
         0.160	  6.500e-001 	             	
         0.192	             	  1.410e-002 	
         0.224	  6.500e-001 	             	
         0.288	  6.500e-001 	  1.419e-002 	
         0.353	  6.500e-001 	  1.428e-002 	
         0.416	  6.500e-001 	  1.429e-002 	
         0.481	  6.500e-001 	  1.426e-002 	
         0.544	             	  1.419e-002 	
         0.576	  6.500e-001 	             	
         0.608	             	  1.424e-002 	
         0.640	  6.500e-001 	             	
         0.673	             	  1.428e-002 	
         0.704	  6.500e-001 	             	
         0.736	             	  1.430e-002 	
         0.768	  6.500e-001 	             	
         0.800	             	  1.434e-002 	
         0.832	  6.500e-001 	             	
         0.864	             	  1.431e-002 	
         0.896	  6.500e-001 	             	
         0.928	             	  1.430e-002 	
         0.960	  6.500e-001 	             	
         0.992	             	  1.429e-002 	
         1.024	  6.500e-001 	             	
         1.088	  6.500e-001 	  1.428e-002 	
         1.152	  6.500e-001 	  1.425e-002 	
         1.216	  6.500e-001 	  1.428e-002 	
         1.280	  6.500e-001 	  1.428e-002 	
         1.344	  6.500e-001 	  1.426e-002 	
         1.408	             	  1.422e-002 	
         1.440	  6.500e-001 	             	
         1.472	             	  1.420e-002 	
         1.504	  6.500e-001 	             	
         1.536	             	  1.423e-002 	
         1.568	  6.500e-001 	             	
         1.601	             	  1.426e-002 	
         1.632	  6.500e-001 	             	
         1.664	             	  1.426e-002 	
         1.696	  6.500e-001 	             	
         1.728	             	  1.429e-002 	
         1.760	  6.500e-001 	             	
         1.792	             	  1.433e-002 	
         1.824	  6.500e-001 	             	
         1.889	  6.500e-001 	  1.435e-002 	
         1.952	  6.500e-001 	  1.438e-002 	
         2.016	  6.500e-001 	  1.436e-002 	
         2.080	  6.500e-001 	  1.436e-002 	
         2.144	  6.500e-001 	  1.439e-002 	
         2.208	             	  1.439e-002 	
         2.240	  6.500e-001 	             	
         2.272	             	  1.443e-002 	
         2.304	  6.500e-001 	             	
         2.336	             	  1.445e-002 	
         2.368	  6.500e-001 	             	
         2.400	             	  1.446e-002 	
         2.432	  6.500e-001 	             	
         2.464	             	  1.446e-002 	
         2.496	  6.500e-001 	             	
         2.528	             	  1.447e-002 	
         2.560	  6.500e-001 	             	
         2.592	             	  1.448e-002 	
         2.624	  6.500e-001 	             	
         2.688	  6.500e-001 	  1.450e-002 	
         2.752	  6.500e-001 	  1.448e-002 	
         2.816	  6.500e-001 	  1.445e-002 	
         2.880	  6.500e-001 	  1.444e-002 	
         2.944	  6.500e-001 	  1.444e-002 	
         3.008	             	  1.442e-002 	
         3.040	  6.500e-001 	             	
         3.072	             	  1.444e-002 	
         3.105	  6.500e-001 	             	
         3.137	             	  1.444e-002 	
         3.168	  6.500e-001 	             	
         3.200	             	  1.445e-002 	
         3.232	  6.500e-001 	             	
         3.264	             	  1.449e-002 	
         3.296	  6.500e-001 	             	
         3.328	             	  1.448e-002 	
         3.360	  6.500e-001 	             	
         3.392	             	  1.447e-002 	
         3.424	  6.500e-001 	             	
         3.489	  6.500e-001 	  1.451e-002 	
         3.552	  6.500e-001 	  1.451e-002 	
         3.617	  6.500e-001 	  1.448e-002 	
         3.680	  6.500e-001 	  1.444e-002 	
         3.744	  6.500e-001 	  1.442e-002 	
         3.808	             	  1.446e-002 	
         3.840	  6.500e-001 	             	
         3.872	             	  1.450e-002 	
         3.904	  6.500e-001 	             	
         3.936	             	  1.453e-002 	
         3.968	  6.500e-001 	             	
         4.000	             	  1.454e-002 	
         4.033	  6.500e-001 	             	
         4.064	             	  1.451e-002 	
         4.097	  6.500e-001 	             	
         4.128	             	  1.457e-002 	
         4.160	  6.500e-001 	             	
         4.192	             	  1.457e-002 	
         4.224	  6.500e-001 	             	
         4.288	  6.500e-001 	  1.458e-002 	
         4.352	  6.500e-001 	  1.460e-002 	
         4.417	  6.500e-001 	  1.461e-002 	
         4.480	  6.500e-001 	  1.463e-002 	
         4.544	  6.500e-001 	  1.462e-002 	
         4.608	             	  1.466e-002 	
         4.640	  6.500e-001 	             	
         4.672	             	  1.467e-002 	
         4.704	  6.500e-001 	             	
         4.736	             	  1.469e-002 	
         4.768	  6.500e-001 	             	
         4.800	             	  1.471e-002 	
         4.832	  6.500e-001 	             	
         4.864	             	  1.472e-002 	
         4.896	  6.500e-001 	             	
         4.928	             	  1.474e-002 	
         4.959	  6.500e-001 	             	
         4.992	             	  1.473e-002 	
         5.024	  6.500e-001 	             	
         5.088	  6.500e-001 	  1.475e-002 	
         5.152	  6.500e-001 	  1.477e-002 	
         5.216	  6.500e-001 	  1.477e-002 	
         5.280	  6.500e-001 	  1.477e-002 	
         5.344	  6.500e-001 	  1.477e-002 	
         5.408	             	  1.484e-002 	
         5.440	  6.500e-001 	             	
         5.472	             	  1.481e-002 	
         5.504	  6.500e-001 	             	
         5.536	             	  1.486e-002 	
         5.568	  6.500e-001 	             	
         5.601	             	  1.484e-002 	
         5.632	  6.500e-001 	             	
         5.664	             	  1.480e-002 	
         5.696	  6.500e-001 	             	
         5.729	             	  1.483e-002 	
         5.760	  6.500e-001 	             	
         5.792	             	  1.486e-002 	
         5.824	  6.500e-001 	             	
         5.888	  6.500e-001 	  1.486e-002 	
         5.953	  6.500e-001 	  1.486e-002 	
         6.016	  6.500e-001 	  1.484e-002 	
         6.080	  6.500e-001 	  1.484e-002 	
         6.144	  6.500e-001 	  1.482e-002 	
         6.208	             	  1.481e-002 	
         6.240	  6.500e-001 	             	
         6.272	             	  1.485e-002 	
         6.304	  6.500e-001 	             	
         6.336	             	  1.486e-002 	
         6.369	  6.500e-001 	             	
         6.400	             	  1.489e-002 	
         6.432	  6.500e-001 	             	
         6.464	             	  1.490e-002 	
         6.496	  6.500e-001 	             	
         6.528	             	  1.491e-002 	
         6.560	  6.500e-001 	             	
         6.592	             	  1.482e-002 	
         6.624	  6.500e-001 	             	
         6.688	  6.500e-001 	  1.493e-002 	
         6.752	  6.500e-001 	  1.499e-002 	
         6.816	  6.500e-001 	  1.502e-002 	
         6.880	  6.500e-001 	  1.504e-002 	
         6.944	  6.500e-001 	  1.501e-002 	
         7.008	             	  1.503e-002 	
         7.040	  6.500e-001 	             	
         7.072	             	  1.499e-002 	
         7.104	  6.500e-001 	             	
         7.136	             	  1.497e-002 	
         7.169	  6.500e-001 	             	
         7.200	             	  1.503e-002 	
         7.232	  6.500e-001 	             	
         7.264	             	  1.504e-002 	
         7.297	  6.500e-001 	             	
         7.328	             	  1.506e-002 	
         7.360	  6.500e-001 	             	
         7.392	             	  1.507e-002 	
         7.424	  6.500e-001 	             	
         7.488	  6.500e-001 	  1.511e-002 	
         7.552	  6.500e-001 	  1.508e-002 	
         7.617	  6.500e-001 	  1.509e-002 	
         7.680	             	  1.511e-002 	
         7.681	  6.500e-001 	             	
         7.744	  6.500e-001 	  1.509e-002 	
         7.808	             	  1.509e-002 	
         7.840	  6.500e-001 	             	
         7.872	             	  1.512e-002 	
         7.904	  6.500e-001 	             	
         7.937	             	  1.511e-002 	
         7.968	  6.500e-001 	             	
         8.000	             	  1.512e-002 	
         8.032	  6.500e-001 	             	
         8.064	             	  1.510e-002 	
         8.096	  6.500e-001 	             	
         8.128	             	  1.513e-002 	
         8.160	  6.500e-001 	             	
         8.192	             	  1.519e-002 	
         8.224	  6.500e-001 	             	
         8.288	  6.500e-001 	  1.518e-002 	
         8.352	  6.500e-001 	  1.523e-002 	
         8.416	  6.500e-001 	  1.524e-002 	
         8.480	  6.500e-001 	  1.522e-002 	
         8.544	  6.500e-001 	  1.525e-002 	
         8.608	             	  1.524e-002 	
         8.639	  6.500e-001 	             	
         8.672	             	  1.523e-002 	
         8.704	  6.500e-001 	             	
         8.736	             	  1.522e-002 	
         8.768	  6.500e-001 	             	
         8.800	             	  1.528e-002 	
         8.832	  6.500e-001 	             	
         8.865	             	  1.527e-002 	
         8.896	  6.500e-001 	             	
         8.929	             	  1.529e-002 	
         8.960	  6.500e-001 	             	
         8.992	             	  1.528e-002 	
         9.024	  6.500e-001 	             	
         9.088	  6.500e-001 	  1.530e-002 	
         9.152	  6.500e-001 	             	
         9.153	             	  1.534e-002 	
         9.217	  6.500e-001 	  1.540e-002 	
         9.280	  6.500e-001 	  1.541e-002 	
         9.344	  6.500e-001 	  1.539e-002 	
         9.407	             	  1.541e-002 	
         9.440	  6.500e-001 	             	
         9.472	             	  1.544e-002 	
         9.504	  6.500e-001 	             	
         9.536	             	  1.546e-002 	
         9.568	  6.500e-001 	             	
         9.600	             	  1.546e-002 	
         9.632	  6.500e-001 	             	
         9.664	             	  1.544e-002 	
         9.696	  6.500e-001 	             	
         9.728	             	  1.547e-002 	
         9.760	  6.500e-001 	             	
         9.792	             	  1.553e-002 	
         9.824	  6.500e-001 	             	
         9.888	  6.500e-001 	  1.551e-002 	
         9.952	  6.500e-001 	  1.555e-002 	
        10.017	  6.500e-001 	  1.552e-002 	
        10.080	  6.500e-001 	  1.555e-002 	
        10.144	  6.500e-001 	  1.564e-002 	
        10.209	             	  1.562e-002 	
        10.239	  6.500e-001 	             	
        10.272	             	  1.564e-002 	
        10.304	  6.500e-001 	             	
        10.337	             	  1.566e-002 	
        10.368	  6.500e-001 	             	
        10.401	             	  1.571e-002 	
        10.432	  6.500e-001 	             	
        10.464	             	  1.571e-002 	
        10.496	  6.500e-001 	             	
        10.528	             	  1.573e-002 	
        10.561	  6.500e-001 	             	
        10.592	             	  1.572e-002 	
        10.624	  6.500e-001 	             	
        10.687	  6.500e-001 	             	
        10.688	             	  1.572e-002 	
        10.753	  6.500e-001 	  1.572e-002 	
        10.817	  6.500e-001 	  1.573e-002 	
        10.880	  6.500e-001 	  1.576e-002 	
        10.944	  6.500e-001 	  1.579e-002 	
        11.008	             	  1.571e-002 	
        11.040	  6.500e-001 	             	
        11.072	             	  1.573e-002 	
        11.104	  6.500e-001 	             	
        11.136	             	  1.577e-002 	
        11.169	  6.500e-001 	             	
        11.200	             	  1.581e-002 	
        11.232	  6.500e-001 	             	
        11.264	             	  1.584e-002 	
        11.297	  6.500e-001 	             	
        11.328	             	  1.582e-002 	
        11.360	  6.500e-001 	             	
        11.392	             	  1.581e-002 	
        11.424	  6.500e-001 	             	
        11.456	             	  1.584e-002 	
        11.488	  6.500e-001 	             	
        11.552	  6.500e-001 	  1.588e-002 	
        11.616	  6.500e-001 	  1.588e-002 	
        11.680	  6.500e-001 	             	
        11.681	             	  1.584e-002 	
        11.743	  6.500e-001 	  1.582e-002 	
        11.808	             	  1.593e-002 	
        11.840	  6.500e-001 	             	
        11.871	             	  1.593e-002 	
        11.904	  6.500e-001 	             	
        11.936	             	  1.596e-002 	
        11.969	  6.500e-001 	             	
        12.000	             	  1.592e-002 	
        12.032	  6.500e-001 	             	
        12.064	             	  1.592e-002 	
        12.096	  6.500e-001 	             	
        12.128	             	  1.587e-002 	
        12.160	  6.500e-001 	             	
        12.192	             	  1.591e-002 	
        12.225	  6.500e-001 	             	
        12.256	             	  1.597e-002 	
        12.288	  6.500e-001 	             	
        12.353	  6.500e-001 	  1.608e-002 	
        12.417	  6.500e-001 	  1.613e-002 	
        12.481	  6.500e-001 	  1.615e-002 	
        12.544	  6.500e-001 	  1.617e-002 	
        12.609	             	  1.615e-002 	
        12.640	  6.500e-001 	             	
        12.672	             	  1.614e-002 	
        12.704	  6.500e-001 	             	
        12.737	             	  1.617e-002 	
        12.768	  6.500e-001 	             	
        12.800	             	  1.618e-002 	
        12.832	  6.500e-001 	             	
        12.864	             	  1.619e-002 	
        12.896	  6.500e-001 	             	
        12.928	             	  1.619e-002 	
        12.961	  6.500e-001 	             	
        12.992	             	  1.620e-002 	
        13.024	  6.500e-001 	             	
        13.056	             	  1.622e-002 	
        13.088	  6.500e-001 	             	
        13.152	  6.500e-001 	  1.623e-002 	
        13.217	  6.500e-001 	  1.626e-002 	
        13.281	  6.500e-001 	  1.626e-002 	
        13.344	  6.500e-001 	  1.625e-002 	
        13.408	             	  1.623e-002 	
        13.409	  6.500e-001 	             	
        13.472	             	  1.626e-002 	
        13.504	  6.500e-001 	             	
        13.536	             	  1.627e-002 	
        13.568	  6.500e-001 	             	
        13.601	             	  1.630e-002 	
        13.633	  6.500e-001 	             	
        13.664	             	  1.633e-002 	
        13.696	  6.500e-001 	             	
        13.728	             	  1.634e-002 	
        13.760	  6.500e-001 	             	
        13.793	             	  1.641e-002 	
        13.824	  6.500e-001 	             	
        13.856	             	  1.643e-002 	
        13.888	  6.500e-001 	             	
        13.952	  6.500e-001 	  1.647e-002 	
        14.016	  6.500e-001 	  1.651e-002 	
        14.080	  6.500e-001 	  1.652e-002 	
        14.144	  6.500e-001 	  1.650e-002 	
        14.208	  6.500e-001 	  1.652e-002 	
        14.272	             	  1.653e-002 	
        14.304	  6.500e-001 	             	
        14.336	             	  1.650e-002 	
        14.368	  6.500e-001 	             	
        14.400	             	  1.650e-002 	
        14.432	  6.500e-001 	             	
        14.464	             	  1.650e-002 	
        14.496	  6.500e-001 	             	
        14.528	             	  1.654e-002 	
        14.560	  6.500e-001 	             	
        14.592	             	  1.656e-002 	
        14.624	  6.500e-001 	             	
        14.656	             	  1.656e-002 	
        14.688	  6.500e-001 	             	
        14.752	  6.500e-001 	  1.658e-002 	
        14.817	  6.500e-001 	  1.661e-002 	
        14.880	  6.500e-001 	  1.662e-002 	
        14.944	  6.500e-001 	  1.661e-002 	
        15.008	  6.500e-001 	  1.664e-002 	
        15.072	             	  1.667e-002 	
        15.104	  6.500e-001 	             	
        15.136	             	  1.667e-002 	
        15.168	  6.500e-001 	             	
        15.200	             	  1.677e-002 	
        15.232	  6.500e-001 	             	
        15.264	             	  1.682e-002 	
        15.297	  6.500e-001 	             	
        15.328	             	  1.680e-002 	
        15.360	  6.500e-001 	             	
        15.392	             	  1.683e-002 	
        15.424	  6.500e-001 	             	
        15.456	             	  1.682e-002 	
        15.488	  6.500e-001 	             	
        15.552	  6.500e-001 	  1.684e-002 	
        15.617	  6.500e-001 	  1.683e-002 	
        15.680	  6.500e-001 	  1.680e-002 	
        15.744	  6.500e-001 	  1.684e-002 	
        15.809	  6.500e-001 	  1.684e-002 	
        15.872	             	  1.690e-002 	
        15.904	  6.500e-001 	             	
        15.936	             	  1.689e-002 	
        15.968	  6.500e-001 	             	
        16.000	             	  1.694e-002 	
        16.033	  6.500e-001 	             	
        16.065	             	  1.706e-002 	
        16.096	  6.500e-001 	             	
        16.128	             	  1.705e-002 	
        16.161	  6.500e-001 	             	
        16.192	             	  1.704e-002 	
        16.224	  6.500e-001 	             	
        16.256	             	  1.708e-002 	
        16.288	  6.500e-001 	             	
