Timestamp,ChannelA,ChannelB,Length,Transmittance
0.0,             ,0.00603,-6.900452488687783,1.0
0.063,             ,0.00602,-6.882338800904978,0.998341625207297
0.128,             ,0.00602,-6.863650075414782,0.998341625207297
0.192,  8.180e-002 ,0.00602,-6.845248868778281,0.998341625207297
0.255,  8.170e-002 ,0.00602,-6.827135180995476,0.998341625207297
0.32,  8.170e-002 ,0.00602,-6.80844645550528,0.998341625207297
0.38299999999999995,  8.170e-002 ,0.00602,-6.790332767722474,0.998341625207297
0.44799999999999995,             ,0.00602,-6.7716440422322774,0.998341625207297
0.512,  8.170e-002 ,0.00602,-6.753242835595777,0.998341625207297
0.5760000000000001,  8.170e-002 ,0.00602,-6.734841628959276,0.998341625207297
0.64,  8.170e-002 ,0.00602,-6.716440422322775,0.998341625207297
0.736,             ,0.00602,-6.688838612368024,0.998341625207297
0.8,             ,0.00602,-6.670437405731524,0.998341625207297
0.8640000000000001,             ,0.00602,-6.652036199095023,0.998341625207297
0.9279999999999999,             ,0.00602,-6.633634992458522,0.998341625207297
0.992,  8.170e-002 ,0.00602,-6.615233785822022,0.998341625207297
1.056,  8.170e-002 ,0.00602,-6.596832579185521,0.998341625207297
1.12,  8.170e-002 ,0.00602,-6.57843137254902,0.998341625207297
1.1840000000000002,  8.170e-002 ,0.00602,-6.5600301659125195,0.998341625207297
1.248,  8.170e-002 ,0.00602,-6.541628959276018,0.998341625207297
1.311,  8.170e-002 ,0.00602,-6.523515271493213,0.998341625207297
1.376,  8.170e-002 ,0.00602,-6.504826546003017,0.998341625207297
1.44,  8.170e-002 ,0.00602,-6.486425339366516,0.998341625207297
1.535,             ,0.00602,-6.45911104826546,0.998341625207297
1.6,             ,0.00602,-6.440422322775264,0.998341625207297
1.6640000000000001,             ,0.00602,-6.4220211161387635,0.998341625207297
1.7280000000000002,             ,0.00602,-6.403619909502263,0.998341625207297
1.7919999999999998,  8.170e-002 ,0.00602,-6.385218702865762,0.998341625207297
1.855,  8.170e-002 ,0.00602,-6.367105015082957,0.998341625207297
1.92,  8.170e-002 ,0.00602,-6.348416289592761,0.998341625207297
1.983,  8.170e-002 ,0.00602,-6.330302601809955,0.998341625207297
2.048,  8.170e-002 ,0.00602,-6.311613876319759,0.998341625207297
2.112,  8.170e-002 ,0.00602,-6.293212669683259,0.998341625207297
2.176,  8.170e-002 ,0.00602,-6.274811463046757,0.998341625207297
2.239,  8.170e-002 ,0.00602,-6.256697775263952,0.998341625207297
2.336,             ,0.00602,-6.228808446455505,0.998341625207297
2.4,             ,0.00602,-6.210407239819005,0.998341625207297
2.464,             ,0.00602,-6.192006033182504,0.998341625207297
2.528,             ,0.00602,-6.173604826546003,0.998341625207297
2.592,  8.170e-002 ,0.00602,-6.155203619909503,0.998341625207297
2.656,  8.170e-002 ,0.00602,-6.136802413273002,0.998341625207297
2.72,  8.170e-002 ,0.00602,-6.118401206636501,0.998341625207297
2.784,  8.160e-002 ,0.00601,-6.1000000000000005,0.9966832504145937
2.8480000000000003,  8.160e-002 ,0.00601,-6.081598793363499,0.9966832504145937
2.911,  8.160e-002 ,0.00601,-6.063485105580694,0.9966832504145937
2.9760000000000004,  8.160e-002 ,0.00601,-6.044796380090498,0.9966832504145937
3.04,  8.160e-002 ,0.00601,-6.026395173453997,0.9966832504145937
3.136,             ,0.00601,-5.998793363499246,0.9966832504145937
3.2,             ,0.00601,-5.980392156862745,0.9966832504145937
3.264,             ,0.00602,-5.9619909502262445,0.998341625207297
3.3280000000000003,             ,0.00602,-5.943589743589744,0.998341625207297
3.391,  8.170e-002 ,0.00602,-5.925476055806938,0.998341625207297
3.4560000000000004,  8.170e-002 ,0.00602,-5.906787330316742,0.998341625207297
3.52,  8.170e-002 ,0.00602,-5.888386123680242,0.998341625207297
3.583,  8.170e-002 ,0.00602,-5.870272435897436,0.998341625207297
3.648,  8.170e-002 ,0.00602,-5.85158371040724,0.998341625207297
