;PC Software:StarLab Version 3.30 Build 10
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:19/03/2021 at 16:15:59
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Split
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:940606)  VG2.52 (s/n:946462)
;Channel B:Vega Thermopile 3A (s/n:947746)  VG2.52 (s/n:946463)

;Channel A:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel B:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:81.50mW             
;Max:81.80mW             
;Average:81.64mW             
;Std.Dev.:75.17uW             
;Overrange:0                   

;Channel B:Statistics
;Min:5.760mW             
;Max:6.050mW             
;Average:6.000mW             
;Std.Dev.:57.02uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 19/03/2021 at 16:16:00.134000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  8.170e-002 	             	
         0.063	  8.170e-002 	             	
         0.095	             	  6.010e-003 	
         0.127	  8.170e-002 	             	
         0.159	             	  6.010e-003 	
         0.192	  8.170e-002 	             	
         0.224	             	  6.010e-003 	
         0.256	  8.170e-002 	             	
         0.287	             	  6.010e-003 	
         0.351	  8.170e-002 	  6.010e-003 	
         0.416	  8.170e-002 	  6.010e-003 	
         0.480	  8.170e-002 	  6.010e-003 	
         0.543	  8.170e-002 	  6.010e-003 	
         0.608	  8.170e-002 	  6.010e-003 	
         0.672	  8.160e-002 	  6.010e-003 	
         0.736	  8.160e-002 	  6.010e-003 	
         0.800	  8.160e-002 	  6.010e-003 	
         0.864	  8.160e-002 	             	
         0.895	             	  6.010e-003 	
         0.928	  8.160e-002 	             	
         0.959	             	  6.010e-003 	
         0.991	  8.160e-002 	             	
         1.023	             	  6.010e-003 	
         1.056	  8.160e-002 	             	
         1.088	             	  6.010e-003 	
         1.152	  8.160e-002 	  6.010e-003 	
         1.216	  8.160e-002 	  6.010e-003 	
         1.280	  8.160e-002 	  6.010e-003 	
         1.344	  8.160e-002 	  6.010e-003 	
         1.407	  8.160e-002 	  6.010e-003 	
         1.471	  8.160e-002 	  6.010e-003 	
         1.536	  8.160e-002 	  6.010e-003 	
         1.600	  8.160e-002 	  6.010e-003 	
         1.663	  8.160e-002 	             	
         1.696	             	  6.010e-003 	
         1.727	  8.160e-002 	             	
         1.760	             	  6.010e-003 	
         1.792	  8.170e-002 	             	
         1.824	             	  6.010e-003 	
         1.856	  8.170e-002 	             	
         1.888	             	  6.010e-003 	
         1.952	  8.170e-002 	  6.010e-003 	
         2.016	  8.170e-002 	  6.010e-003 	
         2.080	  8.170e-002 	  6.010e-003 	
         2.144	  8.170e-002 	  6.010e-003 	
         2.208	  8.170e-002 	  6.000e-003 	
         2.271	  8.170e-002 	  6.000e-003 	
         2.336	  8.170e-002 	  6.000e-003 	
         2.400	  8.170e-002 	  6.000e-003 	
         2.464	  8.170e-002 	             	
         2.495	             	  6.000e-003 	
         2.527	  8.160e-002 	             	
         2.560	             	  6.000e-003 	
         2.592	  8.160e-002 	             	
         2.624	             	  6.000e-003 	
         2.655	  8.170e-002 	             	
         2.687	             	  6.000e-003 	
         2.752	  8.170e-002 	  6.000e-003 	
         2.815	  8.170e-002 	  6.000e-003 	
         2.879	  8.170e-002 	  6.000e-003 	
         2.944	  8.170e-002 	  6.000e-003 	
         3.007	  8.170e-002 	  6.000e-003 	
         3.072	  8.170e-002 	  6.000e-003 	
         3.136	  8.170e-002 	  6.000e-003 	
         3.200	  8.170e-002 	  6.010e-003 	
         3.264	  8.170e-002 	             	
         3.295	             	  6.010e-003 	
         3.328	  8.170e-002 	             	
         3.360	             	  6.010e-003 	
         3.392	  8.170e-002 	             	
         3.424	             	  6.010e-003 	
         3.456	  8.170e-002 	             	
         3.488	             	  6.010e-003 	
         3.552	  8.170e-002 	  6.010e-003 	
         3.616	  8.170e-002 	  6.010e-003 	
         3.680	  8.170e-002 	  6.010e-003 	
         3.744	  8.170e-002 	  6.010e-003 	
         3.808	  8.160e-002 	  6.010e-003 	
         3.872	  8.160e-002 	  6.010e-003 	
         3.936	  8.160e-002 	  6.010e-003 	
         4.000	  8.160e-002 	  6.010e-003 	
         4.064	  8.160e-002 	             	
         4.096	             	  6.010e-003 	
         4.128	  8.160e-002 	             	
         4.160	             	  6.010e-003 	
         4.192	  8.160e-002 	             	
         4.223	             	  6.010e-003 	
         4.256	  8.160e-002 	             	
         4.288	             	  6.010e-003 	
         4.352	  8.160e-002 	  6.010e-003 	
         4.416	  8.160e-002 	  6.000e-003 	
         4.480	  8.160e-002 	  6.000e-003 	
         4.544	  8.160e-002 	  6.000e-003 	
         4.607	  8.160e-002 	  6.000e-003 	
         4.671	  8.160e-002 	  6.000e-003 	
         4.736	  8.160e-002 	  6.000e-003 	
         4.799	  8.160e-002 	  6.000e-003 	
         4.863	  8.160e-002 	             	
         4.895	             	  6.000e-003 	
         4.927	  8.160e-002 	             	
         4.960	             	  6.000e-003 	
         4.992	  8.160e-002 	             	
         5.024	             	  6.000e-003 	
         5.055	  8.160e-002 	             	
         5.088	             	  6.010e-003 	
         5.152	  8.160e-002 	  6.010e-003 	
         5.215	  8.160e-002 	  6.010e-003 	
         5.280	  8.160e-002 	  6.010e-003 	
         5.344	  8.160e-002 	  6.010e-003 	
         5.408	  8.160e-002 	  6.010e-003 	
         5.471	  8.170e-002 	  6.010e-003 	
         5.536	  8.170e-002 	  6.010e-003 	
         5.600	  8.170e-002 	  6.010e-003 	
         5.664	  8.170e-002 	             	
         5.696	             	  6.010e-003 	
         5.728	  8.170e-002 	             	
