;PC Software:StarLab Version 3.30 Build 10
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:19/03/2021 at 15:01:08
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Split
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:940606)  VG2.52 (s/n:946462)
;Channel B:Vega Thermopile 3A (s/n:947746)  VG2.52 (s/n:946463)

;Channel A:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel B:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:76.70mW             
;Max:77.10mW             
;Average:76.92mW             
;Std.Dev.:73.90uW             
;Overrange:0                   

;Channel B:Statistics
;Min:9.770mW             
;Max:10.00mW             
;Average:9.940mW             
;Std.Dev.:55.98uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 19/03/2021 at 15:01:08.869000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  7.690e-002 	  9.990e-003 	
         0.064	  7.690e-002 	  9.990e-003 	
         0.128	  7.690e-002 	  9.990e-003 	
         0.192	  7.690e-002 	  9.990e-003 	
         0.256	  7.690e-002 	  9.990e-003 	
         0.320	  7.690e-002 	  9.990e-003 	
         0.384	  7.690e-002 	  9.990e-003 	
         0.448	             	  9.990e-003 	
         0.480	  7.690e-002 	             	
         0.544	  7.690e-002 	  9.990e-003 	
         0.608	  7.690e-002 	  9.990e-003 	
         0.672	  7.690e-002 	  9.990e-003 	
         0.736	  7.690e-002 	  9.990e-003 	
         0.800	  7.690e-002 	  9.990e-003 	
         0.864	  7.690e-002 	  9.990e-003 	
         0.928	  7.690e-002 	  9.990e-003 	
         0.992	  7.690e-002 	  9.990e-003 	
         1.056	  7.690e-002 	  9.990e-003 	
         1.120	  7.690e-002 	  9.990e-003 	
         1.184	  7.690e-002 	  9.990e-003 	
         1.248	             	  9.990e-003 	
         1.280	  7.690e-002 	             	
         1.344	  7.690e-002 	  9.990e-003 	
         1.408	  7.690e-002 	  9.990e-003 	
         1.472	  7.690e-002 	  9.990e-003 	
         1.536	  7.690e-002 	  9.990e-003 	
         1.600	  7.690e-002 	  9.990e-003 	
         1.664	  7.690e-002 	  9.990e-003 	
         1.728	  7.690e-002 	  9.990e-003 	
         1.792	  7.690e-002 	  9.990e-003 	
         1.856	  7.690e-002 	  9.990e-003 	
         1.920	  7.690e-002 	  9.990e-003 	
         1.984	  7.690e-002 	  9.990e-003 	
         2.048	             	  9.990e-003 	
         2.080	  7.690e-002 	             	
         2.144	  7.690e-002 	  9.980e-003 	
         2.208	  7.680e-002 	  9.980e-003 	
         2.272	  7.680e-002 	  9.980e-003 	
         2.336	  7.680e-002 	  9.980e-003 	
         2.400	  7.680e-002 	  9.980e-003 	
         2.464	  7.680e-002 	  9.980e-003 	
         2.528	  7.680e-002 	  9.980e-003 	
         2.592	  7.680e-002 	  9.980e-003 	
