;PC Software:StarLab Version 3.30 Build 10
! ******* Warning: Do not modify this file. Changes may prevent   ********
! ******* the StarLab Log reader from opening the file correctly. ********
;Logged:19/03/2021 at 14:42:37
;File Version:5
;Time Resolution:1 microseconds
;Log Settings:Stop after:period: 00:05:00
;Graph Mode:Split
;Notes:                                                            

;Channel A:Vega Thermopile 3A (s/n:940606)  VG2.52 (s/n:946462)
;Channel B:Vega Thermopile 3A (s/n:947746)  VG2.52 (s/n:946463)

;Channel A:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(14,104,168)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel B:Details
;Name:3A
;Graph Type:Line
;Graph Color:RGB(245,86,16)
;Units:W
;Settings:Measuring:Power
;Settings:Wavelength:532
;Settings:Range:AUTO

;Channel A:Statistics
;Min:79.80mW             
;Max:80.20mW             
;Average:80.03mW             
;Std.Dev.:79.60uW             
;Overrange:0                   

;Channel B:Statistics
;Min:790.0uW             
;Max:1.383mW             
;Average:1.041mW             
;Std.Dev.:135.9uW             
;Overrange:0                   
;--------------------


;First Pulse Arrived : 19/03/2021 at 14:42:37.701000
  Timestamp   	  Channel A  	  Channel B  	
         0.000	  7.990e-002 	  1.383e-003 	
         0.064	  7.990e-002 	  1.349e-003 	
         0.128	  7.990e-002 	  1.317e-003 	
         0.192	  7.990e-002 	  1.287e-003 	
         0.257	  7.990e-002 	  1.260e-003 	
         0.320	  7.990e-002 	  1.235e-003 	
         0.384	  7.990e-002 	  1.212e-003 	
         0.448	             	  1.192e-003 	
         0.480	  7.990e-002 	             	
         0.512	             	  1.175e-003 	
         0.544	  7.990e-002 	             	
         0.576	             	  1.159e-003 	
         0.608	  8.000e-002 	             	
         0.672	  8.000e-002 	  1.146e-003 	
         0.736	  7.990e-002 	  1.134e-003 	
         0.800	  8.000e-002 	  1.124e-003 	
         0.864	  8.000e-002 	  1.116e-003 	
         0.928	  8.000e-002 	  1.109e-003 	
         0.992	  8.000e-002 	  1.103e-003 	
         1.056	  8.000e-002 	  1.098e-003 	
         1.120	  8.000e-002 	  1.094e-003 	
         1.185	  8.000e-002 	  1.091e-003 	
         1.248	  8.000e-002 	  1.089e-003 	
         1.312	             	  1.087e-003 	
         1.343	  8.000e-002 	             	
         1.375	             	  1.086e-003 	
         1.407	  8.000e-002 	             	
         1.472	  8.000e-002 	  1.084e-003 	
